drug_name,y_true,y_score
Amlitelimab,1,0.10831250529000924
Belimumab,0,0.08216550592127328
Bempikibart,0,0.08894415420523068
Brodalumab,0,0.0635247584226889
Crisaborole,1,0.0780333063232459
Dupilumab,1,0.06193206135534547
Etanercept,0,0.06319931552854148
Etokimab,0,0.08828887319189
Fingolimod,0,0.0855265269572378
Guselkumab,0,0.07870418243165243
Ixékizumab,0,0.09146058233718436
Nemolizumab,1,0.09044800784061327
Omalizumab,1,0.07678477765720285
Ozanimod,0,0.08038631300446922
Rituximab,0,0.09446450907299156
Rocatinlimab,1,0.09175482442095102
Ruxolitinib,1,0.07362044033465065
Secukinumab,0,0.09595546503586312
Tapinarof,1,0.08563364080511848
Tralokinumab,1,0.06482226386387924
Upadacitinib,1,0.07348483726893647
Vibozimod,0,0.10135426485954885
