drug_name,y_true,y_score
Afimkibart,1,-0.004559432360146656
Belimumab,0,-0.03592013573781761
Dupilumab,0,-0.012845180256825907
Etanercept,1,-0.030370955271065755
Etokimab,0,-0.023757487977930043
Fingolimod,0,-0.03552517658756831
Guselkumab,1,-0.036257144933751866
Ixékizumab,0,-0.016522924505718153
Nemolizumab,0,-0.00028370782110438925
Obefazimod,1,-0.017391698685179414
Omalizumab,0,-0.06305522397693325
Ozanimod,0,-0.03312770543382132
Rituximab,0,0.024541362046647128
Secukinumab,0,-0.01180733573959347
Tralokinumab,0,-0.05360776593954866
Upadacitinib,1,-0.012789147330770306
Vibozimod,0,-0.020682457368956717
