drug_name,y_true,y_score
Afimkibart,1,0.041532002414071886
Belimumab,0,0.037416759993464735
Bempikibart,1,0.06354271978228596
Crisaborole,1,0.03693634545096804
Etanercept,1,0.047833433711165524
Etokimab,0,0.043348347088002726
Fingolimod,1,0.04632788886961034
Guselkumab,1,0.055072768175589024
Nemolizumab,0,0.03182444677127629
Obefazimod,1,0.022527400289898757
Omalizumab,0,0.026443350273545527
Ozanimod,1,0.047213868982222754
Rituximab,0,0.040966794328432775
Rocatinlimab,0,0.034861973275145806
Tralokinumab,0,0.029614934809240653
Upadacitinib,1,0.0238298190471332
Vibozimod,1,0.06106314720529959
