drug_name,y_true,y_score
Amlitelimab,1,0.5005247
Belimumab,0,0.4996741
Bempikibart,0,0.5041792
Brodalumab,0,0.48786303
Crisaborole,1,0.49976778
Dupilumab,1,0.5077496
Etanercept,0,0.5001884
Etokimab,0,0.49670446
Fingolimod,0,0.49752757
Guselkumab,0,0.5056612
Ixékizumab,0,0.50410503
Nemolizumab,1,0.5047381
Omalizumab,1,0.5030915
Ozanimod,0,0.49519384
Rituximab,0,0.50275046
Rocatinlimab,1,0.50534797
Ruxolitinib,1,0.49530387
Secukinumab,0,0.5045033
Tapinarof,1,0.49721324
Tralokinumab,1,0.5074213
Upadacitinib,1,0.493985
Vibozimod,0,0.49690628
